               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.046298,           0.0093769,                   0,             0.78884,             0.60092,             0.66275,             0.21527,            0.049595,           0.0081985,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.045991,            0.009347,                   0,             0.77771,             0.63393,             0.69401,             0.23044,            0.048469,           0.0078755,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.046877,           0.0096881,                   0,             0.79449,              0.5906,             0.67506,             0.21945,            0.049583,           0.0078298,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.045841,            0.010258,                   0,             0.82501,             0.63417,             0.71451,             0.24567,            0.048245,           0.0076805,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.047274,           0.0093513,                   0,             0.79466,             0.63021,             0.69983,             0.22323,            0.049376,           0.0076991,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.047035,           0.0092625,                   0,             0.76645,             0.61009,               0.673,             0.21785,            0.049079,           0.0075662,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.045539,            0.009493,                   0,             0.82635,             0.64679,             0.70901,             0.24719,            0.047509,           0.0075697,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.046363,           0.0096233,                   0,             0.81407,             0.67281,             0.72577,             0.25415,            0.048121,           0.0075222,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.045907,           0.0087009,                   0,             0.81719,             0.61124,             0.69786,             0.23954,             0.04821,           0.0076183,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.045073,           0.0096589,                   0,             0.76941,             0.64667,              0.7093,             0.24137,            0.047281,           0.0077475,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.045532,           0.0097154,                   0,              0.7674,             0.66969,             0.71518,             0.24706,            0.047915,           0.0075437,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.045319,           0.0091072,                   0,              0.7415,             0.62831,             0.67176,              0.2223,            0.047977,           0.0076673,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.046009,           0.0093539,                   0,             0.82512,             0.63991,              0.7089,             0.24064,            0.048411,           0.0076742,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.045292,           0.0089404,                   0,             0.83013,             0.63417,             0.71729,             0.24689,             0.04892,           0.0076151,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.044848,           0.0091563,                   0,             0.80189,             0.65452,              0.7093,             0.24446,            0.048246,           0.0076868,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.044979,           0.0092833,                   0,             0.78395,             0.62835,             0.68602,             0.23211,            0.048288,           0.0075008,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.045173,           0.0091599,                   0,             0.78179,             0.62041,             0.70153,             0.23839,            0.047789,           0.0077479,                   0,            0.008251,            0.008251,            0.008251
                  55,             0.04574,           0.0093935,                   0,             0.76927,             0.63851,              0.6998,             0.23373,            0.047596,           0.0076556,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.045379,           0.0092355,                   0,             0.81786,             0.63853,             0.70593,             0.23922,             0.04795,           0.0078089,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.045659,           0.0094758,                   0,             0.79927,             0.63991,             0.70059,             0.23583,            0.049223,           0.0075316,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.044113,           0.0091675,                   0,             0.81392,             0.65252,             0.71839,             0.24387,            0.047385,           0.0076091,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.043785,           0.0093208,                   0,             0.74058,             0.62271,             0.67764,              0.2197,            0.049988,           0.0077312,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.044529,           0.0091905,                   0,             0.76048,             0.60076,             0.67501,             0.22731,            0.048643,           0.0076357,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.044604,           0.0089874,                   0,             0.81628,             0.64794,              0.7124,             0.24316,            0.047423,            0.007691,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.044432,             0.00911,                   0,             0.81237,             0.64549,             0.71104,             0.25244,            0.048639,           0.0077294,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.045012,           0.0093732,                   0,             0.76757,             0.61353,             0.67113,             0.22682,            0.048969,           0.0075957,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.044193,           0.0098913,                   0,             0.78745,             0.65429,             0.72625,             0.26151,            0.047137,            0.007655,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.04465,           0.0089408,                   0,             0.75533,             0.63188,             0.67697,              0.2241,            0.049635,           0.0077426,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.044671,           0.0087805,                   0,             0.80786,             0.61927,             0.71045,             0.23419,            0.048818,           0.0076617,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.045556,           0.0096014,                   0,              0.7768,             0.62261,             0.69351,             0.23283,            0.047923,           0.0076751,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.04551,            0.009092,                   0,             0.86404,             0.65594,             0.74459,             0.25767,            0.046996,           0.0074992,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.045749,           0.0093371,                   0,             0.80772,             0.61239,             0.68615,             0.22298,            0.048149,           0.0075401,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.046318,           0.0087827,                   0,               0.818,             0.63417,              0.7055,             0.24189,            0.047311,           0.0075883,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.045314,            0.009163,                   0,             0.78009,              0.6594,              0.7136,              0.2481,             0.04655,           0.0075112,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.044464,           0.0087335,                   0,             0.71062,             0.62844,             0.65641,             0.21415,            0.048704,           0.0076473,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.045734,           0.0088718,                   0,             0.77345,             0.66055,              0.6998,             0.22831,            0.048042,           0.0074457,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.045564,           0.0086877,                   0,             0.83868,             0.64679,             0.72755,             0.25237,            0.047548,           0.0074703,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.044681,           0.0089106,                   0,             0.82743,             0.64335,             0.72923,             0.24746,            0.047285,           0.0074203,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.044823,           0.0091652,                   0,              0.8132,               0.625,             0.70364,              0.2432,            0.047127,           0.0077192,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.045325,           0.0088949,                   0,             0.79211,             0.62959,              0.6965,             0.23678,            0.047839,           0.0075161,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.044638,           0.0087987,                   0,             0.80071,             0.66055,             0.73327,             0.26163,            0.046061,           0.0074446,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.044531,           0.0087165,                   0,             0.74317,             0.62729,               0.686,             0.22433,            0.048878,           0.0073549,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.046144,           0.0091261,                   0,             0.76859,             0.67431,             0.72871,             0.25057,            0.048024,           0.0074464,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.043887,           0.0092217,                   0,             0.73623,             0.58372,             0.62124,             0.19277,            0.052305,           0.0074992,                   0,             0.00736,             0.00736,             0.00736
