               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 159,            0.040135,           0.0079882,                   0,             0.70957,             0.66399,             0.68721,              0.2329,            0.048396,           0.0074092,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.039887,           0.0088607,                   0,             0.80918,             0.65826,             0.72335,             0.25413,            0.047262,           0.0073368,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.040634,           0.0083506,                   0,             0.82396,             0.63876,             0.71874,             0.25529,            0.047306,           0.0073176,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.040913,           0.0081511,                   0,             0.76252,             0.66399,             0.71222,             0.24527,             0.04783,           0.0072855,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.040476,           0.0084617,                   0,             0.71559,             0.69249,             0.69689,             0.23497,             0.04789,           0.0073244,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.041256,            0.008118,                   0,             0.78079,             0.67546,             0.71669,             0.24637,            0.047945,           0.0072983,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.040188,           0.0083751,                   0,             0.80673,             0.62709,             0.69069,             0.22736,            0.049209,           0.0074467,                   0,            0.004588,            0.004588,            0.004588
                 166,             0.04058,           0.0079797,                   0,             0.79585,              0.6706,             0.73165,              0.2547,            0.047205,           0.0073908,                   0,            0.004555,            0.004555,            0.004555
                 167,             0.04075,           0.0087039,                   0,             0.75842,             0.64446,             0.69248,             0.23427,            0.047249,           0.0074721,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.041408,           0.0081901,                   0,             0.77353,              0.6933,             0.72577,             0.24942,            0.047648,           0.0073409,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.040692,           0.0085478,                   0,             0.80213,             0.66972,             0.71935,             0.24907,            0.047983,           0.0074416,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.040379,           0.0081736,                   0,             0.78763,             0.66774,              0.7164,             0.25103,            0.047633,           0.0074334,                   0,            0.004423,            0.004423,            0.004423
                 171,             0.03996,           0.0082518,                   0,             0.81624,             0.64182,             0.72246,              0.2513,            0.047514,           0.0075111,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.039984,           0.0079468,                   0,             0.77889,             0.62729,             0.69172,             0.23737,            0.047918,           0.0075742,                   0,            0.004357,            0.004357,            0.004357
                 173,            0.040551,           0.0082902,                   0,             0.79461,             0.65826,             0.72164,             0.25063,            0.046722,           0.0073258,                   0,            0.004324,            0.004324,            0.004324
                 174,            0.040104,           0.0084659,                   0,             0.75391,             0.65023,             0.69526,              0.2346,            0.048255,           0.0073393,                   0,            0.004291,            0.004291,            0.004291
                 175,            0.040041,           0.0078918,                   0,             0.79371,             0.61812,             0.69378,             0.23853,            0.049307,           0.0074268,                   0,            0.004258,            0.004258,            0.004258
                 176,             0.04052,           0.0080966,                   0,             0.77591,             0.67546,             0.71913,             0.25116,            0.048672,            0.007421,                   0,            0.004225,            0.004225,            0.004225
                 177,             0.04016,           0.0080086,                   0,             0.73863,             0.69151,             0.71858,             0.24043,            0.048813,            0.007363,                   0,            0.004192,            0.004192,            0.004192
                 178,            0.039711,            0.008193,                   0,             0.75053,             0.68312,             0.72137,              0.2507,            0.048375,           0.0073481,                   0,            0.004159,            0.004159,            0.004159
                 179,            0.039476,           0.0081425,                   0,             0.76186,              0.6789,             0.72412,              0.2504,             0.04821,           0.0074028,                   0,            0.004126,            0.004126,            0.004126
                 180,            0.039389,           0.0084354,                   0,             0.75495,             0.69246,             0.72696,             0.24823,            0.047964,           0.0073865,                   0,            0.004093,            0.004093,            0.004093
                 181,            0.038663,           0.0080714,                   0,             0.82715,             0.66055,             0.74059,             0.25917,            0.046468,           0.0072828,                   0,             0.00406,             0.00406,             0.00406
                 182,            0.039398,            0.008699,                   0,             0.81141,             0.65138,             0.72438,             0.25185,            0.047068,           0.0072795,                   0,            0.004027,            0.004027,            0.004027
